ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB),ID,A/B2,Dwell A2,Dwell B2,UD(AB2),DU(AB2),UU(AB2),DD(AB2)
76383, [t|h],100224.0,1036160.0,161920.0,1298304.0,1198080.0,262144.0,76383, [i|n],220032.0,582016.0,1059968.0,1862016.0,1641984.0,1280000.0
76383, [t|h],30080.0,729984.0,620032.0,1380096.0,1350016.0,650112.0,76383, [i|n],990080.0,829952.0,40064.0,1860096.0,870016.0,1030144.0
76383, [t|h],1040768.0,880640.0,240128.0,2161536.0,1120768.0,1280896.0,76383, [i|n],708096.0,760064.0,349952.0,1818112.0,1110016.0,1058048.0
76383, [t|h],720640.0,560384.0,320256.0,1601280.0,880640.0,1040896.0,76383, [i|n],889984.0,1100032.0,600064.0,2590080.0,1700096.0,1490048.0
76383, [t|h],890624.0,710528.0,730496.0,2331648.0,1441024.0,1621120.0,76383, [i|n],381952.0,578048.0,808064.0,1768064.0,1386112.0,1190016.0
76383, [t|h],156032.0,642048.0,501888.0,1299968.0,1143936.0,657920.0,76383, [i|n],880640.0,1040640.0,800640.0,2721920.0,1841280.0,1681280.0
76383, [t|h],971392.0,1105920.0,1562496.0,3639808.0,2668416.0,2533888.0,76383, [i|n],210048.0,420096.0,1280000.0,1910144.0,1700096.0,1490048.0
76383, [t|h],1644672.0,1445248.0,1562624.0,4652544.0,3007872.0,3207296.0,76383, [i|n],450048.0,429952.0,970112.0,1850112.0,1400064.0,1420160.0
76383, [t|h],1110784.0,560512.0,240640.0,1911936.0,801152.0,1351424.0,76383, [i|n],552064.0,846080.0,275968.0,1674112.0,1122048.0,828032.0
76383, [t|h],39936.0,350080.0,850048.0,1240064.0,1200128.0,889984.0,76383, [i|n],460032.0,439936.0,1010048.0,1910016.0,1449984.0,1470080.0
76383, [t|h],960640.0,880640.0,480384.0,2321664.0,1361024.0,1441024.0,76383, [i|n],492032.0,540032.0,2588032.0,3620096.0,3128064.0,3080064.0
76383, [t|h],951168.0,640384.0,400384.0,1991936.0,1040768.0,1351552.0,76383, [i|n],720512.0,730624.0,1294233344.0,1295684480.0,1294963968.0,1294953856.0
76383, [t|h],1325952.0,1322112.0,780032.0,3428096.0,2102144.0,2105984.0,76383, [i|n],560384.0,960640.0,960640.0,2481664.0,1921280.0,1521024.0
76383, [t|h],1119360.0,1032704.0,247552.0,2399616.0,1280256.0,1366912.0,76383, [i|n],578048.0,760064.0,199936.0,1538048.0,960000.0,777984.0
76383, [t|h],1450880.0,640512.0,230016.0,2321408.0,870528.0,1680896.0,76383, [i|n],155904.0,780032.0,898048.0,1833984.0,1678080.0,1053952.0
76383, [t|h],1352320.0,870656.0,9984.0,2232960.0,880640.0,1362304.0,76383, [i|n],311936.0,956032.0,468096.0,1736064.0,1424128.0,780032.0
76383, [t|h],981248.0,1114496.0,156288.0,2252032.0,1270784.0,1137536.0,76383, [i|n],321920.0,822016.0,1662080.0,2806016.0,2484096.0,1984000.0
76383, [t|h],1190144.0,760064.0,209920.0,2160128.0,969984.0,1400064.0,76383, [i|n],624000.0,624000.0,312064.0,1560064.0,936064.0,936064.0
76383, [t|h],1248000.0,624000.0,467968.0,2339968.0,1091968.0,1715968.0,76383, [i|n],270080.0,670080.0,569984.0,1510144.0,1240064.0,840064.0
76383, [t|h],1363584.0,2237824.0,3272960.0,6874368.0,5510784.0,4636544.0,76383, [i|n],640512.0,720512.0,950656.0,2311680.0,1671168.0,1591168.0
