ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB),A/B2,Dwell A2,Dwell B2,UD(AB2),DU(AB2),UU(AB2),DD(AB2),A/B3,Dwell A3,Dwell B3,UD(AB3),DU(AB3),UU(AB3),DD(AB3)
76383, [a|c],440064.0,1510144.0,1180032.0,3130240.0,2690176.0,1620096.0, [e|a],155904.0,40064.0,962048.0,1158016.0,1002112.0,1117952.0, [h|e],1200896.0,960640.0,400256.0,2561792.0,1360896.0,1601152.0
76383, [a|c],29952.0,1170048.0,1630080.0,2830080.0,2800128.0,1660032.0, [e|a],329984.0,220032.0,752000.0,1302016.0,972032.0,1081984.0, [h|e],1290112.0,29952.0,2190080.0,3510144.0,2220032.0,3480192.0
76383, [a|c],468736.0,1250048.0,2187776.0,3906560.0,3437824.0,2656512.0, [e|a],432000.0,156032.0,704000.0,1292032.0,860032.0,1136000.0, [h|e],440064.0,311936.0,608000.0,1360000.0,919936.0,1048064.0
76383, [a|c],1711488.0,1137536.0,1905664.0,4754688.0,3043200.0,3617152.0, [e|a],688000.0,329984.0,280064.0,1298048.0,610048.0,968064.0, [h|e],329984.0,1210112.0,8700544.0,10240640.0,9910656.0,9030528.0
76383, [a|c],156032.0,1139968.0,2224000.0,3520000.0,3363968.0,2380032.0, [e|a],760064.0,312064.0,331904.0,1404032.0,643968.0,1091968.0, [h|e],155904.0,1404032.0,7020160.0,8580096.0,8424192.0,7176064.0
76383, [a|c],1280256.0,240128.0,1521152.0,3041536.0,1761280.0,2801408.0, [e|a],381952.0,249984.0,510080.0,1142016.0,760064.0,892032.0, [h|e],249984.0,156032.0,777984.0,1184000.0,934016.0,1027968.0
76383, [a|c],480896.0,2423808.0,2849280.0,5753984.0,5273088.0,3330176.0, [e|a],1340160.0,680064.0,1190016.0,3210240.0,1870080.0,2530176.0, [h|e],440064.0,20096.0,839936.0,1300096.0,860032.0,1280000.0
76383, [a|c],1862144.0,1412096.0,487936.0,3762176.0,1900032.0,2350080.0, [e|a],530048.0,206080.0,640000.0,1376128.0,846080.0,1170048.0, [h|e],300032.0,900224.0,1800448.0,3000704.0,2700672.0,2100480.0
76383, [a|c],1550080.0,1420160.0,809984.0,3780224.0,2230144.0,2360064.0, [e|a],624000.0,1248000.0,3929984.0,5801984.0,5177984.0,4553984.0, [h|e],935936.0,1248000.0,312064.0,2496000.0,1560064.0,1248000.0
76383, [a|c],1200000.0,320000.0,1600128.0,3120128.0,1920128.0,2800128.0, [e|a],572032.0,39936.0,2330112.0,2942080.0,2370048.0,2902144.0, [h|e],450048.0,370048.0,600064.0,1420160.0,970112.0,1050112.0
76383, [a|c],1363712.0,1283968.0,1438848.0,4086528.0,2722816.0,2802560.0, [e|a],541952.0,582016.0,312064.0,1436032.0,894080.0,854016.0, [h|e],1050752.0,960640.0,230656.0,2242048.0,1191296.0,1281408.0
76383, [a|c],179968.0,1080064.0,1670144.0,2930176.0,2750208.0,1850112.0, [e|a],320000.0,29952.0,1080064.0,1430016.0,1110016.0,1400064.0, [h|e],156032.0,215936.0,636032.0,1008000.0,851968.0,792064.0
76383, [a|c],39936.0,1330048.0,2600192.0,3970176.0,3930240.0,2640128.0, [e|a],640000.0,320000.0,540032.0,1500032.0,860032.0,1180032.0, [h|e],960128.0,249984.0,210048.0,1420160.0,460032.0,1170176.0
76383, [a|c],1523968.0,1306112.0,528000.0,3358080.0,1834112.0,2051968.0, [e|a],339968.0,220032.0,640128.0,1200128.0,860160.0,980096.0, [h|e],793088.0,1028480.0,9984.0,1831552.0,1038464.0,803072.0
76383, [a|c],537984.0,1322112.0,1331968.0,3192064.0,2654080.0,1869952.0, [e|a],440064.0,507904.0,678016.0,1625984.0,1185920.0,1118080.0, [h|e],800000.0,220032.0,210048.0,1230080.0,430080.0,1010048.0
76383, [a|c],406016.0,1342080.0,1309952.0,3058048.0,2652032.0,1715968.0, [e|a],30080.0,220032.0,2430080.0,2680192.0,2650112.0,2460160.0, [h|e],550400.0,1038592.0,637056.0,2226048.0,1675648.0,1187456.0
76383, [a|c],1110016.0,1090048.0,1504128.0,3704192.0,2594176.0,2614144.0, [e|a],39936.0,320000.0,1160064.0,1520000.0,1480064.0,1200000.0, [h|e],810240.0,1270912.0,560512.0,2641664.0,1831424.0,1370752.0
76383, [a|c],780032.0,780032.0,8464000.0,10024064.0,9244032.0,9244032.0, [e|a],760064.0,200064.0,1629952.0,2590080.0,1830016.0,2390016.0, [h|e],230656.0,880128.0,1847680.0,2958464.0,2727808.0,2078336.0
76383, [a|c],1519488.0,795392.0,7838336.0,10153216.0,8633728.0,9357824.0, [e|a],470144.0,498048.0,369920.0,1338112.0,867968.0,840064.0, [h|e],312064.0,935936.0,1248000.0,2496000.0,2183936.0,1560064.0
76383, [a|c],1323136.0,479872.0,2746496.0,4549504.0,3226368.0,4069632.0, [e|a],761984.0,586112.0,391936.0,1740032.0,978048.0,1153920.0, [h|e],880000.0,30080.0,400000.0,1310080.0,430080.0,1280000.0
76383, [a|c],800256.0,897536.0,1602688.0,3300480.0,2500224.0,2402944.0, [e|a],361984.0,176000.0,750080.0,1288064.0,926080.0,1112064.0, [h|e],210048.0,468096.0,985984.0,1664128.0,1454080.0,1196032.0
76383, [a|c],570112.0,1334144.0,1744000.0,3648256.0,3078144.0,2314112.0, [e|a],990080.0,50048.0,169984.0,1210112.0,220032.0,1160064.0, [h|e],960640.0,1120896.0,400256.0,2481792.0,1521152.0,1360896.0
76383, [a|c],760064.0,1374080.0,656000.0,2790144.0,2030080.0,1416064.0, [e|a],624000.0,312064.0,624000.0,1560064.0,936064.0,1248000.0, [h|e],780032.0,1286016.0,400000.0,2466048.0,1686016.0,1180032.0
76383, [a|c],306048.0,1488128.0,1430016.0,3224192.0,2918144.0,1736064.0, [e|a],220032.0,270080.0,3500160.0,3990272.0,3770240.0,3720192.0, [h|e],760064.0,320000.0,300032.0,1380096.0,620032.0,1060096.0
76383, [a|c],1452032.0,1266048.0,1009920.0,3728000.0,2275968.0,2461952.0, [e|a],468096.0,467968.0,873984.0,1810048.0,1341952.0,1342080.0, [h|e],994048.0,1126016.0,537984.0,2658048.0,1664000.0,1532032.0
76383, [a|c],651904.0,1122048.0,1096064.0,2870016.0,2218112.0,1747968.0, [e|a],350080.0,560000.0,850048.0,1760128.0,1410048.0,1200128.0, [h|e],1160064.0,1210112.0,624000.0,2994176.0,1834112.0,1784064.0
76383, [a|c],376064.0,1682048.0,3568000.0,5626112.0,5250048.0,3944064.0, [e|a],320128.0,1571968.0,2492032.0,4384128.0,4064000.0,2812160.0, [h|e],396032.0,560000.0,400000.0,1356032.0,960000.0,796032.0
76383, [a|c],624640.0,1094016.0,2031232.0,3749888.0,3125248.0,2655872.0, [e|a],312064.0,624000.0,779904.0,1715968.0,1403904.0,1091968.0, [h|e],1250176.0,1405952.0,312832.0,2968960.0,1718784.0,1563008.0
76383, [a|c],1250048.0,1160064.0,1289984.0,3700096.0,2450048.0,2540032.0, [e|a],500096.0,510080.0,649984.0,1660160.0,1160064.0,1150080.0, [h|e],320000.0,311936.0,620032.0,1251968.0,931968.0,940032.0
76383, [a|c],1550080.0,1410048.0,510080.0,3470208.0,1920128.0,2060160.0, [e|a],680064.0,40064.0,1570048.0,2290176.0,1610112.0,2250112.0, [h|e],672128.0,649984.0,1020032.0,2342144.0,1670016.0,1692160.0
76383, [a|c],209920.0,979968.0,2420224.0,3610112.0,3400192.0,2630144.0, [e|a],550016.0,540032.0,439936.0,1529984.0,979968.0,989952.0, [h|e],829440.0,1337472.0,156160.0,2323072.0,1493632.0,985600.0
76383, [a|c],1197568.0,1360384.0,1201664.0,3759616.0,2562048.0,2399232.0, [e|a],156032.0,624000.0,2535936.0,3315968.0,3159936.0,2691968.0, [h|e],1220096.0,1040000.0,280064.0,2540160.0,1320064.0,1500160.0
76383, [a|c],1021952.0,1332096.0,936064.0,3290112.0,2268160.0,1958016.0, [e|a],219904.0,880000.0,960128.0,2060032.0,1840128.0,1180032.0, [h|e],666368.0,1271552.0,625152.0,2563072.0,1896704.0,1291520.0
76383, [a|c],1315968.0,1128064.0,468096.0,2912128.0,1596160.0,1784064.0, [e|a],239872.0,1430784.0,1364096.0,3034752.0,2794880.0,1603968.0, [h|e],540032.0,119936.0,690048.0,1350016.0,809984.0,1230080.0
76383, [a|c],429952.0,1650048.0,1550208.0,3630208.0,3200256.0,1980160.0, [e|a],410112.0,209920.0,2240128.0,2860160.0,2450048.0,2650240.0, [h|e],1120256.0,1110912.0,9984.0,2241152.0,1120896.0,1130240.0
76383, [a|c],1710080.0,989952.0,300032.0,3000064.0,1289984.0,2010112.0, [e|a],920064.0,4540288.0,15710848.0,21171200.0,20251136.0,16630912.0, [h|e],560384.0,880128.0,400768.0,1841280.0,1280896.0,961152.0
76383, [a|c],467968.0,1430144.0,1651968.0,3550080.0,3082112.0,2119936.0, [e|a],210048.0,650112.0,989952.0,1850112.0,1640064.0,1200000.0, [h|e],608000.0,700032.0,360064.0,1668096.0,1060096.0,968064.0
76383, [a|c],320128.0,990080.0,2060032.0,3370240.0,3050112.0,2380160.0, [e|a],640512.0,240384.0,2241536.0,3122432.0,2481920.0,2882048.0, [h|e],870016.0,39936.0,300032.0,1209984.0,339968.0,1170048.0
76383, [a|c],396032.0,1408128.0,1648000.0,3452160.0,3056128.0,2044032.0, [e|a],1030016.0,702080.0,16572032.0,18304128.0,17274112.0,17602048.0, [h|e],870016.0,649984.0,690048.0,2210048.0,1340032.0,1560064.0
76383, [a|c],1190016.0,1070080.0,700032.0,2960128.0,1770112.0,1890048.0, [e|a],792064.0,640000.0,1736064.0,3168128.0,2376064.0,2528128.0, [h|e],950656.0,1441024.0,560384.0,2952064.0,2001408.0,1511040.0
76383, [a|c],311936.0,1089920.0,1778176.0,3180032.0,2868096.0,2090112.0, [e|a],400384.0,240128.0,640256.0,1280768.0,880384.0,1040640.0, [h|e],490496.0,960640.0,630272.0,2081408.0,1590912.0,1120768.0
